snapped_at,price,market_cap,total_volume
2021-04-01 00:00:00 UTC,1915.8325358462234,221210690537.73203,28955571443.672318
2021-04-02 00:00:00 UTC,1970.4711995232753,227187483748.8278,32076778812.4586
2021-04-03 00:00:00 UTC,2134.101788297294,246446284273.69153,35467665330.67185
2021-04-04 00:00:00 UTC,2016.6672472930366,233519912234.63,34872897876.651085
2021-04-05 00:00:00 UTC,2077.755212422407,239721240194.1402,26817722961.480415
2021-04-06 00:00:00 UTC,2097.7963827792596,242118495324.83636,30867393925.630993
2021-04-07 00:00:00 UTC,2115.0554517461082,244306254505.299,33391498272.783157
2021-04-08 00:00:00 UTC,1989.1480619041722,229324263726.26553,39604003543.54452
2021-04-09 00:00:00 UTC,2081.3540625398964,240116470865.16214,27145394978.191498
2021-04-10 00:00:00 UTC,2069.6677960855295,238825167325.68292,25076796421.07279
2021-04-11 00:00:00 UTC,2142.7960653929085,246336623343.47812,32243242817.777157
2021-04-12 00:00:00 UTC,2150.2651427927744,247431817683.18906,25369863410.044476
2021-04-13 00:00:00 UTC,2142.476275865736,247289165411.20078,29096213677.73583
2021-04-14 00:00:00 UTC,2304.3435163110134,265314823430.1463,35760747636.05728
2021-04-15 00:00:00 UTC,2429.6615277515734,281118122172.12756,43351853140.30176
2021-04-16 00:00:00 UTC,2514.1684155812304,290591950682.4659,37106765660.11614
2021-04-17 00:00:00 UTC,2424.5538447081194,280617563098.8275,43982805217.511246
2021-04-18 00:00:00 UTC,2345.266962776132,271060261616.9552,35627176091.57985
2021-04-19 00:00:00 UTC,2245.7607533508544,259329079995.44214,61890227351.97623
2021-04-20 00:00:00 UTC,2168.032726735651,251090482814.8267,40335730705.29044
2021-04-21 00:00:00 UTC,2324.2846872281943,269456185695.19864,44737302423.76558
2021-04-22 00:00:00 UTC,2373.501344298211,274296843910.20834,43726884251.94589
2021-04-23 00:00:00 UTC,2426.0711497906045,280712855517.3182,63343308067.3157
2021-04-24 00:00:00 UTC,2364.2312036020908,273323480799.64493,69126869461.51704
2021-04-25 00:00:00 UTC,2212.8437976342047,258340689899.58817,35640594314.43296
2021-04-26 00:00:00 UTC,2307.35532084471,266776799157.93356,36744402576.60037
2021-04-27 00:00:00 UTC,2532.3868028851084,292829223558.3116,42791797037.03227
2021-04-28 00:00:00 UTC,2647.158189660288,306136280873.3804,37611597877.629944
2021-04-29 00:00:00 UTC,2748.7845851218613,317353332381.2044,42878743228.1645
2021-04-30 00:00:00 UTC,2757.497552304977,318971242360.58826,38536865198.32878
